language,item_type,text,pronunciation,vietnamese_meaning,example,example_vietnamese,topic,situation,difficulty,frequency_level,notes
zh,VOCABULARY,我,wǒ,tôi,我是学生。,Tôi là học sinh.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,你,nǐ,bạn,你好吗？,Bạn khỏe không?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,他,tā,anh ấy,他是我朋友。,Anh ấy là bạn tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,她,tā,cô ấy,她是老师。,Cô ấy là giáo viên.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,它,tā,nó,它是一只猫。,Nó là một con mèo.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,我们,wǒmen,chúng tôi,我们是朋友。,Chúng tôi là bạn.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,你们,nǐmen,các bạn,你们好。,Chào các bạn.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,他们,tāmen,họ,他们在学校。,Họ ở trường.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,这,zhè,"này, đây",这是我的书。,Đây là sách của tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,那,nà,"kia, đó",那是什么？,Đó là cái gì?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,这个,zhège,cái này,这个很好。,Cái này rất tốt.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,那个,nàge,cái đó,那个是我的。,Cái đó là của tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,谁,shéi,ai,他是谁？,Anh ấy là ai?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,什么,shénme,cái gì,这是什么？,Đây là cái gì?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,哪,nǎ,nào,你是哪国人？,Bạn là người nước nào?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,哪儿,nǎr,ở đâu,你去哪儿？,Bạn đi đâu?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,怎么,zěnme,như thế nào,怎么去？,Đi như thế nào?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,为什么,wèishénme,tại sao,你为什么迟到？,Tại sao bạn đến muộn?,Communication,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,多少,duōshao,bao nhiêu,多少钱？,Bao nhiêu tiền?,Shopping,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,几,jǐ,"mấy, vài",现在几点？,Bây giờ mấy giờ?,Time,,Beginner,Very High,pronoun - core pronoun
zh,VOCABULARY,的,de,trợ từ sở hữu,这是我的。,Đây là của tôi.,Communication,,Beginner,Very High,auxiliary verb - auxiliary verb
zh,VOCABULARY,了,le,trợ từ hoàn thành,我吃了。,Tôi ăn rồi.,Communication,,Beginner,Very High,auxiliary verb - auxiliary verb
zh,VOCABULARY,吗,ma,trợ từ nghi vấn,你好吗？,Bạn khỏe không?,Communication,,Beginner,Very High,auxiliary verb - auxiliary verb
zh,VOCABULARY,呢,ne,trợ từ nghi vấn,你呢？,Còn bạn thì sao?,Communication,,Beginner,Very High,auxiliary verb - auxiliary verb
zh,VOCABULARY,吧,ba,trợ từ đề nghị,我们走吧。,Chúng ta đi thôi.,Communication,,Beginner,Very High,auxiliary verb - auxiliary verb
zh,VOCABULARY,一,yī,một,一个人。,Một người.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,二,èr,hai,二号。,Ngày mùng hai.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,三,sān,ba,三本书。,Ba quyển sách.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,四,sì,bốn,四点。,Bốn giờ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,五,wǔ,năm,五个。,Năm cái.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,六,liù,sáu,六岁。,Sáu tuổi.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,七,qī,bảy,七天。,Bảy ngày.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,八,bā,tám,八月。,Tháng Tám.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,九,jiǔ,chín,九点。,Chín giờ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,十,shí,mười,十块钱。,Mười đồng.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,百,bǎi,trăm,一百。,Một trăm.,Money,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,千,qiān,nghìn,一千。,Một nghìn.,Money,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,零,líng,số không,一百零五。,Một trăm linh năm.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,两,liǎng,hai (số lượng),两个人。,Hai người.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,个,gè,"cái, người (lượng từ)",一个人。,Một người.,Daily Life,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,本,běn,quyển (sách),一本书。,Một quyển sách.,Study,,Beginner,Very High,measure word - measure word
