language,item_type,text,pronunciation,vietnamese_meaning,example,example_vietnamese,topic,situation,difficulty,frequency_level,notes
en,VOCABULARY,i,/aɪ/,tôi,I am a student.,Tôi là sinh viên.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,you,/ju/,bạn,You are my friend.,Bạn là bạn của tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,he,/hi/,anh ấy,He is my brother.,Anh ấy là em trai tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,she,/ʃi/,cô ấy,She is a teacher.,Cô ấy là giáo viên.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,it,/ɪt/,nó,It is a nice day.,Hôm nay là một ngày đẹp.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,we,/wi/,chúng tôi,We are happy.,Chúng tôi rất vui.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,they,/ðeɪ/,họ,They are my friends.,Họ là bạn của tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,me,/mi/,tôi (tân ngữ),Please call me.,Hãy gọi cho tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,him,/ɪm/,anh ấy (tân ngữ),I know him.,Tôi biết anh ấy.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,her,/hər/,cô ấy (tân ngữ),I see her.,Tôi thấy cô ấy.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,us,/ˈjuˈɛs/,chúng tôi (tân ngữ),Come with us.,Đi cùng chúng tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,them,/ðɛm/,họ (tân ngữ),I like them.,Tôi thích họ.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,this,/ðɪs/,cái này,This is good.,Cái này tốt.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,that,/ðət/,cái đó,That is mine.,Cái đó là của tôi.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,these,/ðiz/,những cái này,These are nice.,Những cái này đẹp.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,those,/ðoʊz/,những cái đó,Those are big.,Những cái đó to.,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,who,/hu/,ai,Who is that man?,Người đàn ông đó là ai?,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,what,/wət/,cái gì,What is your name?,Tên bạn là gì?,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,where,/wɛr/,ở đâu,Where do you live?,Bạn sống ở đâu?,Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,when,/wɪn/,khi nào,When do you come?,Khi nào bạn đến?,Time,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,why,/waɪ/,tại sao,Why are you late?,Tại sao bạn đến muộn?,Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,how,/haʊ/,như thế nào,How do you feel?,Bạn cảm thấy thế nào?,Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,which,/wɪʧ/,cái nào,Which one do you want?,Bạn muốn cái nào?,Communication,,Beginner,Very High,pronoun - core pronoun
en,VOCABULARY,and,/ənd/,và,You and I are friends.,Bạn và tôi là bạn.,Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,but,/bət/,nhưng,It is small but nice.,Nó nhỏ nhưng đẹp.,Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,or,/ər/,hoặc,Tea or coffee?,Trà hay cà phê?,Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,so,/soʊ/,vì vậy,"I am tired, so I rest.","Tôi mệt, nên tôi nghỉ.",Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,because,/bɪˈkəz/,bởi vì,I stay because it rains.,Tôi ở lại vì trời mưa.,Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,if,/ɪf/,nếu,Call me if you need help.,Gọi tôi nếu bạn cần giúp.,Communication,,Beginner,Very High,conjunction - core conjunction
en,VOCABULARY,in,/ɪn/,trong,It is in the box.,Nó ở trong hộp.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,on,/ɔn/,trên,The book is on the table.,Sách ở trên bàn.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,at,/æt/,tại,I am at home.,Tôi đang ở nhà.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,to,/tɪ/,đến,I go to school.,Tôi đi đến trường.,Daily Life,,Beginner,Very High,preposition - core preposition
